Date,Species,Trap,AddressNumberAndStreet,Latitude,Longitude,NumMosquitos,WnvPresent,WnvRisk_very low,WnvRisk_low,WnvRisk_medium,WnvRisk_high
,,T228,1300  N LARAMIE AVE,41.904194,-87.756155,,,,,,
,,T232,3900  N SPRINGFIELD AVE,41.951866,-87.725057,,,,,,
,,T231,1700  N ASHLAND AVE,41.912563,-87.668055,,,,,,
,,T235,5100  W 72ND ST,41.763733,-87.742302,,,,,,
,,T233,5800  N RIDGE AVE,41.98728,-87.666066,,,,,,
,,T236,4200  W 65TH ST,41.776428,-87.627096,,,,,,
,,T237,7100  N HARLEM AVE,42.009876,-87.807277,,,,,,
,,T238,6200  N MCCLELLAN AVE,41.994679,-87.770899,,,,,,
,,T094B,2900  W 85TH ST,41.738903,-87.695443,,,,,,
,,T054C,3400  W 77TH ST,41.753391,-87.707394,,,,,,
,,,9600  S LONGWOOD DR,41.71914,-87.669539,,,,,,
,,,2100  N CANNON DR,41.925652,-87.63359,,,,,,
